Procedure group,Organisation Type,Organisation Code,Organisation Name,Measure,Modelled records,Average Q1 Score,Average Q2 Score,Health gain (Q2 average - Q1 average),Increase (Q2>Q1),Same (Q2=Q1),Decrease (Q2<Q1),Adjusted average Q2 score,Adjusted average health gain,Lower confidence interval for adjusted average health gain,Upper confidence interval for adjusted average health gain,,,,,,,,,,,
Groin Hernia,National,National,National,EQ-5D Index,"22,525",0.791,0.874,0.083,"11,351","7,181","3,993",0.874,0.083,0.079,0.087,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5A3,SOUTH GLOUCESTERSHIRE PCT,EQ-5D Index,148,0.811,0.889,0.078,78,46,24,0.889,0.078,0.045,0.112,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5A4,HAVERING PCT,EQ-5D Index,73,0.769,0.812,0.043,37,18,18,0.798,0.029,-0.074,0.133,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5A5,KINGSTON PCT,EQ-5D Index,33,0.785,0.910,0.126,21,*,*,0.893,0.108,0.051,0.165,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5A7,BROMLEY PCT,EQ-5D Index,77,0.841,0.926,0.085,34,29,14,0.963,0.122,0.078,0.166,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5A8,GREENWICH TEACHING PCT,EQ-5D Index,52,0.777,0.883,0.105,29,14,9,0.898,0.121,0.031,0.211,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5A9,BARNET PCT,EQ-5D Index,45,0.788,0.837,0.049,20,14,11,0.833,0.045,-0.037,0.128,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5AT,HILLINGDON PCT,EQ-5D Index,50,0.768,0.838,0.070,24,15,11,0.837,0.069,-0.013,0.150,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5C1,ENFIELD PCT,EQ-5D Index,50,0.760,0.867,0.106,28,9,13,0.858,0.098,0.001,0.195,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5C2,BARKING AND DAGENHAM PCT,EQ-5D Index,25,0.739,0.840,0.101,14,*,*,*,*,*,*,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5C3,CITY AND HACKNEY TEACHING PCT,EQ-5D Index,29,0.752,0.848,0.096,*,13,*,*,*,*,*,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5C4,TOWER HAMLETS PCT,EQ-5D Index,43,0.813,0.858,0.046,20,16,7,0.910,0.097,-0.025,0.219,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5C5,NEWHAM PCT,EQ-5D Index,61,0.763,0.842,0.080,31,18,12,0.840,0.077,-0.002,0.155,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5C9,HARINGEY TEACHING PCT,EQ-5D Index,36,0.683,0.821,0.138,18,11,7,0.781,0.098,0.004,0.192,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5CC,BLACKBURN WITH DARWEN PCT,EQ-5D Index,26,0.800,0.812,0.012,12,*,*,*,*,*,*,,,,,,,,,,,
Groin Hernia,PCT of Responsibility,5CN,HEREFORDSHIRE PCT,EQ-5D Index,109,0.781,0.901,0.120,61,34,14,0.892,0.111,0.072,0.150
Groin Hernia,PCT of Responsibility,5CQ,MILTON KEYNES PCT,EQ-5D Index,118,0.803,0.872,0.069,54,38,26,0.868,0.065,0.008,0.121
Groin Hernia,PCT of Responsibility,5D7,NEWCASTLE PCT,EQ-5D Index,99,0.782,0.873,0.091,51,27,21,0.877,0.095,0.034,0.156
Groin Hernia,PCT of Responsibility,5D8,NORTH TYNESIDE PCT,EQ-5D Index,120,0.766,0.888,0.122,70,36,14,0.856,0.090,0.035,0.145
Groin Hernia,PCT of Responsibility,5D9,HARTLEPOOL PCT,EQ-5D Index,44,0.786,0.791,0.006,17,11,16,0.796,0.010,-0.106,0.126
Groin Hernia,PCT of Responsibility,5E1,STOCKTON-ON-TEES TEACHING PCT,EQ-5D Index,77,0.754,0.859,0.104,43,19,15,0.836,0.082,0.017,0.148
Groin Hernia,PCT of Responsibility,5EF,NORTH LINCOLNSHIRE PCT,EQ-5D Index,55,0.703,0.832,0.130,34,13,8,0.776,0.073,-0.038,0.183
Groin Hernia,PCT of Responsibility,5EM,NOTTINGHAM CITY PCT,EQ-5D Index,32,0.786,0.837,0.051,14,11,7,0.866,0.080,-0.010,0.171
Groin Hernia,PCT of Responsibility,5ET,BASSETLAW PCT,EQ-5D Index,121,0.775,0.858,0.083,61,35,25,0.862,0.087,0.032,0.142
Groin Hernia,PCT of Responsibility,5F1,PLYMOUTH TEACHING PCT,EQ-5D Index,19,0.770,0.894,0.124,11,*,*,*,*,*,*
Groin Hernia,PCT of Responsibility,5F5,SALFORD PCT,EQ-5D Index,100,0.772,0.859,0.087,52,26,22,0.863,0.091,0.031,0.152
Groin Hernia,PCT of Responsibility,5F7,STOCKPORT PCT,EQ-5D Index,127,0.806,0.889,0.083,62,41,24,0.898,0.092,0.048,0.135
Groin Hernia,PCT of Responsibility,5FE,PORTSMOUTH CITY TEACHING PCT,EQ-5D Index,124,0.825,0.876,0.051,48,53,23,0.877,0.052,-0.010,0.113
Groin Hernia,PCT of Responsibility,5FL,BATH AND NORTH EAST SOMERSET PCT,EQ-5D Index,50,0.795,0.895,0.100,26,16,8,0.884,0.089,0.030,0.149
Groin Hernia,PCT of Responsibility,5GC,LUTON PCT,EQ-5D Index,56,0.773,0.888,0.115,33,*,*,0.879,0.106,0.055,0.158
Groin Hernia,PCT of Responsibility,5H1,HAMMERSMITH AND FULHAM PCT,EQ-5D Index,13,0.883,0.883,0.000,*,*,*,*,*,*,*
Groin Hernia,PCT of Responsibility,5H8,ROTHERHAM PCT,EQ-5D Index,102,0.748,0.876,0.128,63,21,18,0.852,0.104,0.047,0.161
Groin Hernia,PCT of Responsibility,5HG,"ASHTON, LEIGH AND WIGAN PCT",EQ-5D Index,139,0.821,0.890,0.069,61,52,26,0.916,0.095,0.045,0.144
